LITO,FE,SIO2
ESTÉRIL,49.811122062788215,4.187125518604388
MINERAL,29.27525890937201,10.15955856556769
ALTO_TEOR,34.17233163138012,10.795486407177256
ESTÉRIL,71.55967611475378,11.335560565378659
MINERAL,67.89664529370629,11.821392145442395
MINERAL,59.56038087125617,7.1613800110311825
MINERAL,44.25539065532003,8.31792204188486
MINERAL,65.92518801008012,11.91849648398082
ALTO_TEOR,68.41372603977808,8.338881333388587
ALTO_TEOR,33.94500948610445,2.983093811209655
ALTO_TEOR,57.15110515322752,6.592239591974538
ALTO_TEOR,57.39038356989363,7.596601515242721
ALTO_TEOR,63.04831259519263,0.6403278691249159
ALTO_TEOR,46.138349202031904,3.3357288136767753
MINERAL,50.92565368643832,10.670831863991026
ALTO_TEOR,60.4673553940887,2.978001961468969
MINERAL,73.74246215193395,5.030263446447478
ESTÉRIL,28.744404566950777,3.385093850577123
ESTÉRIL,67.49906076518565,2.5442555489390695
ALTO_TEOR,34.869481615381055,11.618037108321916
MINERAL,74.19129748777658,10.384474119792895
MINERAL,67.21600583665067,8.630853480238162
ALTO_TEOR,36.70908203958389,8.144241256095452
MINERAL,25.810306345984944,10.521260646923155
ESTÉRIL,61.150379727122825,5.97337862385761
ALTO_TEOR,40.64137737807923,8.16810541437182
MINERAL,30.92988216569385,3.670883842370311
ALTO_TEOR,44.94687810858294,4.1012906382450725
ALTO_TEOR,27.847628147490543,7.14891378241908
ALTO_TEOR,25.021233680366638,2.193188893515795
ESTÉRIL,60.82071467869074,11.734180707005052
ALTO_TEOR,64.30377651873422,11.940487526599886
ALTO_TEOR,73.77451733842217,11.771050652844165
ESTÉRIL,64.04283739099253,5.51392011965352
ESTÉRIL,52.726510698762524,1.7968650177331813
MINERAL,47.284784273722,1.1893873843916483
ESTÉRIL,39.16987984236016,4.566771061401969
MINERAL,61.46674787435104,8.882650026692993
ALTO_TEOR,74.24967766329277,3.5167517078479356
ESTÉRIL,33.84739434607364,5.553633380540627
ALTO_TEOR,55.332341126492466,3.061818933857185
ESTÉRIL,64.39884477996947,4.287652805351831
MINERAL,59.17673842453971,11.090633000848516
MINERAL,70.89165610569222,5.352423540461668
ESTÉRIL,57.126640265132764,10.850820656136378
ALTO_TEOR,68.662617641391,8.92325363337294
ALTO_TEOR,51.33521776015507,8.78859768990467
ALTO_TEOR,50.40535559650044,2.1871842410629245
ALTO_TEOR,70.1084636389379,5.704119364240305
MINERAL,32.333010965877875,3.949643909256615
ESTÉRIL,53.3352149786207,11.09485518554252
ESTÉRIL,63.87350368319324,8.554773498877198
MINERAL,25.83453645821228,10.554698795469166
ALTO_TEOR,41.7235804133815,11.87424885631551
MINERAL,25.803312600648255,3.2578407701190075
ESTÉRIL,31.12764211192213,4.338742413476451
ESTÉRIL,35.27746754481163,5.677113411885934
ALTO_TEOR,73.41695716421175,9.579228340706024
MINERAL,60.172759621582045,2.544754548689207
ALTO_TEOR,64.63219968102237,3.6815580568741706
ESTÉRIL,71.80761355370592,10.57335746390519
MINERAL,71.53995646671146,3.841150768269437
ALTO_TEOR,62.09171355794221,11.13838357519321
MINERAL,44.544128830995206,6.307148157378699
ESTÉRIL,26.78737498283582,8.404850545900512
MINERAL,65.81926869497332,0.8603819141145053
ESTÉRIL,69.70421419998306,4.091592859360378
ALTO_TEOR,48.6953513261856,3.541977940986724
ESTÉRIL,27.409866066318912,7.853431172385158
MINERAL,54.57121514561511,9.734837161518705
ALTO_TEOR,60.964735279307305,6.811495321072883
MINERAL,48.59045542724962,9.980104372236216
ESTÉRIL,52.63416184800551,9.03662876809297
ALTO_TEOR,31.52530496326873,4.535944819642248
MINERAL,64.03724879852228,11.37553092539388
ALTO_TEOR,58.58400056205371,11.829823105174354
ESTÉRIL,51.682746611752805,10.753432463059832
MINERAL,52.60172931713305,1.5570522120680579
MINERAL,37.588456971718585,3.661413390737808
MINERAL,58.748829476547215,2.205594088289203
MINERAL,63.07738347718085,3.5452516146488344
ESTÉRIL,42.77281168341704,11.380421934057987
MINERAL,64.79159953546514,1.0486834451743097
ALTO_TEOR,42.167542277663614,5.718877791192827
MINERAL,66.88944179705247,6.8249301828145175
MINERAL,58.34965585480292,0.9232643064451493
ALTO_TEOR,44.989744314253095,10.567940967763965
ESTÉRIL,57.1105097421707,5.3478491522749785
ALTO_TEOR,38.01396627129168,1.6904828613022567
ESTÉRIL,39.161606440361915,11.197421764022103
ESTÉRIL,63.616926489452055,0.9097268184036627
ALTO_TEOR,49.40232160600089,11.95568977037874
MINERAL,30.256276420955846,9.884910099241317
ESTÉRIL,68.41261773697222,5.725874403789476
MINERAL,61.12228168351063,5.151530198022173
ESTÉRIL,58.67449394979974,6.708421571900443
ALTO_TEOR,65.1478969069849,4.918755804902976
MINERAL,72.18292301265464,4.461828285074629
ESTÉRIL,55.88872674439725,11.942145278879746
ALTO_TEOR,33.106615343449015,11.760091548737849
MINERAL,68.38941602807196,7.303333463945073
MINERAL,57.6440314315124,9.506256979083846
ESTÉRIL,28.711618463368378,6.734347447124819
ALTO_TEOR,26.135464519896264,10.634250158519096
ESTÉRIL,58.78251711703882,4.707636139882429
ALTO_TEOR,57.647374963748945,5.571256144803949
ALTO_TEOR,70.67712546133242,3.936694500319329
MINERAL,66.26811093630275,10.92503345819405
ALTO_TEOR,34.35383763524168,6.408301004804764
