LITOLOGIA,RECURSO,TONELAGEM,VOLUME,Fe_pct,SiO2_pct,g1,g2
ESTÉRIL,MEDIDO,253.13141476116385,107.73311513234358,40.15458714137274,6.654308592758679,20,5
ESTÉRIL,MEDIDO,492.9692370802237,167.2777596483702,63.47213585890385,3.9688226412215992,0,5
ALTO_TEOR,INDICADO,406.11818665308147,50.50607919230591,46.06797215708774,6.9675873644108375,10,15
ALTO_TEOR,MEDIDO,335.2688325523276,128.94178133051037,43.92679465389245,1.3838650796813183,20,5
ESTÉRIL,INDICADO,332.57362063379384,155.99920783088973,51.92249357876517,4.334322828549903,0,5
ALTO_TEOR,INDICADO,288.9438938743146,124.8613230152057,60.21087919751832,9.464493820242641,0,5
ALTO_TEOR,MEDIDO,162.52436827523047,166.9501687434255,64.31808186054288,7.8256436834104335,0,0
ESTÉRIL,INFERIDO,180.61092557173885,107.67028164580668,63.173078860186166,7.857609587625731,20,15
ALTO_TEOR,INDICADO,459.939495151757,109.1895326163791,33.052957893620544,1.8173612460735633,10,0
ESTÉRIL,MEDIDO,279.15691856106525,99.25875545272189,67.10618795983726,6.148650010830517,20,0
ESTÉRIL,INFERIDO,161.34496757033003,128.6556955911987,48.17656292976151,1.0329489789702313,10,0
MINERAL,INDICADO,249.3379825798799,177.49192667126073,47.58608464123896,7.151616908202762,10,0
ESTÉRIL,MEDIDO,381.3626685236967,138.44291093177708,45.465414489936734,4.200223106908565,20,15
ESTÉRIL,INDICADO,465.4203419297656,130.54374801397933,33.57144524719514,4.165088354521513,20,0
MINERAL,MEDIDO,357.7006673444358,185.4596809067456,58.32442607957015,7.861056113493316,0,0
MINERAL,INFERIDO,153.43278145183353,112.66794727586216,68.89208356912064,8.72876096776873,10,0
MINERAL,INDICADO,180.04689869786196,182.69332013530587,68.81387153128432,9.337986400254108,0,15
MINERAL,INFERIDO,208.0106858498126,175.1092023385691,52.60955471933808,1.6896162106868062,20,5
ESTÉRIL,MEDIDO,473.9465131815702,114.37060520190018,39.13909080211814,4.61488515078293,0,5
ALTO_TEOR,INFERIDO,210.71790825494577,138.2575365941404,40.42826871478994,1.5569281014280039,0,5
ESTÉRIL,INDICADO,166.06935780312972,114.86037421863313,58.922510492067374,1.8821468529485403,0,5
MINERAL,INDICADO,118.57658938863489,186.1957047620353,31.32829571246465,9.688553011838291,20,15
MINERAL,MEDIDO,299.3206013458899,146.03285792605507,60.06585630286871,6.604033028220438,10,5
MINERAL,INFERIDO,421.29437802472756,112.51119613036849,61.188702660680335,2.2187271185093627,10,15
ESTÉRIL,INFERIDO,202.86954246393836,192.9225319524154,49.622518997544226,7.241470081141681,20,5
ALTO_TEOR,INFERIDO,159.52835879593647,191.5632521325776,54.56304312542197,2.8235703432025963,0,0
ESTÉRIL,MEDIDO,328.8321669589045,83.58657076263978,67.54993328587526,1.3807215076247723,0,5
MINERAL,MEDIDO,100.68235462091808,90.2161546036352,50.10634270057655,9.497919274477576,20,0
ESTÉRIL,MEDIDO,235.01698145860033,166.8964440779132,62.076308138616234,1.1869088909897418,10,0
MINERAL,MEDIDO,332.0212123356688,107.0701229956918,30.55033027259773,5.052294005623551,0,5
ESTÉRIL,MEDIDO,321.5021424246942,189.40518117192624,34.94803321348214,8.22268489232575,10,0
ALTO_TEOR,MEDIDO,110.73328511335845,138.54664308207379,37.51927207596151,1.9457645169713538,0,5
ESTÉRIL,MEDIDO,434.9189712632933,151.90779822940794,30.462435954086473,5.205625264198597,10,15
MINERAL,INDICADO,103.15016680868455,152.1568943247487,44.00643313023737,2.070144531975859,0,0
ALTO_TEOR,INFERIDO,497.41669226263554,85.61672137623754,65.42000790232177,8.981777191653507,10,5
ESTÉRIL,MEDIDO,191.9644516353921,72.31209820937865,57.72310875008017,5.992146333553503,10,0
ESTÉRIL,INDICADO,105.69053569745637,83.06589705607965,36.72976512989145,9.044106628062798,10,5
MINERAL,INFERIDO,415.5948880812477,72.79487104872393,34.9886466958189,9.101980108000927,10,15
MINERAL,INDICADO,280.3787484998986,71.28353201408318,45.12787372087526,7.093425139658368,20,0
ESTÉRIL,INFERIDO,276.5943888837532,161.46791555338461,46.79397423948479,7.788591474089045,20,5
MINERAL,INDICADO,254.10506028954748,125.43860363593502,45.66964119769119,1.3456240893121878,20,15
ESTÉRIL,MEDIDO,423.0404044675813,196.1438920063145,37.75042772742543,9.324922457865904,10,0
ALTO_TEOR,MEDIDO,405.6049123042601,161.75309664588076,41.19931264037797,8.320125601597148,20,15
MINERAL,INFERIDO,211.19177808809894,135.15605258757398,42.908829997331,5.157113694833204,10,15
ESTÉRIL,INDICADO,156.66386920971718,75.51608575137226,62.4125457524519,6.25691531660553,10,15
ALTO_TEOR,INFERIDO,255.3049777289009,167.34832603022693,65.03755455740708,3.8597496142414487,20,5
ESTÉRIL,INDICADO,140.67610725193686,143.20274275245572,54.63492600814425,3.3984927665611298,0,0
ALTO_TEOR,INDICADO,294.88486251013774,96.17842166223804,35.465313705845844,9.278684664463455,20,0
MINERAL,INDICADO,129.07000064951336,185.61111296695518,60.929000147176374,2.11913695986434,0,0
MINERAL,INDICADO,140.00994933119267,116.63867694874988,67.78154556606952,8.718596227699276,0,5
ALTO_TEOR,INFERIDO,336.4530600864773,185.67047082949995,60.46500485482872,3.334396630793136,20,15
ESTÉRIL,INDICADO,296.781962609753,92.33616300844011,30.79605286505916,6.958796493210533,20,0
MINERAL,INFERIDO,273.3060200535013,133.3373566271307,60.82603931146433,9.55128622869824,0,0
ESTÉRIL,INDICADO,187.3691212613033,191.16182113246728,64.49144836730137,3.063693322287004,20,5
ESTÉRIL,INFERIDO,298.60884050016296,106.70656183128872,36.662630834358076,2.7184650946779336,0,5
ESTÉRIL,INDICADO,118.17621732003376,139.1609402650547,60.6198506982821,2.8949821430251528,0,5
MINERAL,INDICADO,183.32999107397058,75.85619191074515,39.18623397615346,4.173090626174698,10,0
ALTO_TEOR,INFERIDO,284.37445319408573,130.25273707921946,48.61659986426993,9.698795740998907,0,0
ESTÉRIL,INFERIDO,238.55587595577217,148.35980313477194,58.3551321289861,1.938243295522984,10,15
ALTO_TEOR,MEDIDO,358.2633450019924,108.23553602020047,39.91655085275142,5.212011861527644,0,0
ALTO_TEOR,INDICADO,388.59601977114147,149.7613038084515,64.85152587151975,5.5352190113181,20,5
ALTO_TEOR,MEDIDO,193.9266143389356,152.0104418566049,54.59987122156417,6.230079827058534,10,0
MINERAL,INDICADO,194.24741982384091,193.17468362091972,60.15518997505673,2.712529665885304,20,0
MINERAL,INFERIDO,485.2168347305567,193.3769016180037,32.317678702893325,7.009314191402949,10,5
ALTO_TEOR,INFERIDO,200.14402521891623,102.30680254682528,40.64871591290189,6.768500361450417,10,15
ALTO_TEOR,INDICADO,264.08414567985176,146.1580705437499,47.68185679844187,6.95812165537072,0,15
ALTO_TEOR,MEDIDO,347.9315228399156,70.16772779433767,47.85532278230466,3.113849305202102,20,5
MINERAL,INDICADO,140.50566060979799,140.92034902788498,30.959067980802146,3.680359615302265,0,5
ESTÉRIL,MEDIDO,266.7680487061782,199.27026418491292,67.2877539770144,2.8153807490634426,0,15
ESTÉRIL,INDICADO,103.85551449664834,159.1959329370484,36.94812296652917,2.520060218480304,0,15
ESTÉRIL,INFERIDO,489.2735199908715,198.8555352607348,58.620469506855194,5.388457659885603,10,15
